event_id,detection_id,response_time,responded_at,timestamp,response_type,type,action,response_action,mttr_seconds,analyst,status,notes
ATK-0040,ATK-0040,2025-12-11T10:05:57.561193,2025-12-11 10:05:57,2025-12-11 10:05:57,automated,automated,block_domain,block_domain,25.62127945896299,AUTO-SYSTEM,completed,Automated response: block domain
ATK-0041,ATK-0041,2025-12-11T10:21:04.163230,2025-12-11 10:21:04,2025-12-11 10:21:04,manual,manual,escalate_to_soc,escalate_to_soc,653.5405341252372,analyst_john,completed,Manual response: escalate to soc
ATK-0042,ATK-0042,2025-12-11T10:16:11.649547,2025-12-11 10:16:11,2025-12-11 10:16:11,automated,automated,kill_process,kill_process,1.6600663081406328,AUTO-SYSTEM,completed,Automated response: kill process
ATK-0043,ATK-0043,2025-12-11T10:23:53.732926,2025-12-11 10:23:53,2025-12-11 10:23:53,automated,automated,block_domain,block_domain,25.67253459798395,AUTO-SYSTEM,completed,Automated response: block domain
ATK-0044,ATK-0044,2025-12-11T10:37:15.407084,2025-12-11 10:37:15,2025-12-11 10:37:15,manual,manual,analyst_review,analyst_review,653.4189049834052,analyst_mike,completed,Manual response: analyst review
ATK-0045,ATK-0045,2025-12-11T10:30:40.470131,2025-12-11 10:30:40,2025-12-11 10:30:40,automated,automated,quarantine_email,quarantine_email,22.116286980884276,AUTO-SYSTEM,completed,Automated response: quarantine email
ATK-0046,ATK-0046,2025-12-11T10:48:29.781163,2025-12-11 10:48:29,2025-12-11 10:48:29,manual,manual,request_more_info,request_more_info,157.4376680018607,analyst_mike,completed,Manual response: request more info
ATK-0047,ATK-0047,2025-12-11T10:57:51.887128,2025-12-11 10:57:51,2025-12-11 10:57:51,manual,manual,escalate_to_soc,escalate_to_soc,849.4193532397832,analyst_sarah,completed,Manual response: escalate to soc
ATK-0048,ATK-0048,2025-12-11T10:52:18.111613,2025-12-11 10:52:18,2025-12-11 10:52:18,manual,manual,create_ticket,create_ticket,303.20554733997636,soc_lead,completed,Manual response: create ticket
ATK-0049,ATK-0049,2025-12-11T10:53:12.910340,2025-12-11 10:53:12,2025-12-11 10:53:12,automated,automated,block_domain,block_domain,8.61234687256676,AUTO-SYSTEM,completed,Automated response: block domain
ATK-0050,ATK-0050,2025-12-11T10:57:37.153343,2025-12-11 10:57:37,2025-12-11 10:57:37,automated,automated,quarantine_email,quarantine_email,26.499012966324806,AUTO-SYSTEM,completed,Automated response: quarantine email
ATK-0051,ATK-0051,2025-12-11T11:04:08.576437,2025-12-11 11:04:08,2025-12-11 11:04:08,automated,automated,isolate_host,isolate_host,20.17336102562009,AUTO-SYSTEM,completed,Automated response: isolate host
ATK-0053,ATK-0053,2025-12-11T11:12:31.457727,2025-12-11 11:12:31,2025-12-11 11:12:31,automated,automated,block_domain,block_domain,28.72824950991393,AUTO-SYSTEM,completed,Automated response: block domain
ATK-0054,ATK-0054,2025-12-11T11:19:56.798608,2025-12-11 11:19:56,2025-12-11 11:19:56,manual,manual,notify_admin,notify_admin,174.24561947351637,analyst_sarah,completed,Manual response: notify admin
ATK-0057,ATK-0057,2025-12-11T11:47:47.493711,2025-12-11 11:47:47,2025-12-11 11:47:47,manual,manual,analyst_review,analyst_review,741.8586765992217,analyst_john,completed,Manual response: analyst review
ATK-0059,ATK-0059,2025-12-11T11:45:40.249709,2025-12-11 11:45:40,2025-12-11 11:45:40,manual,manual,create_ticket,create_ticket,277.272464481082,analyst_john,completed,Manual response: create ticket
ATK-0060,ATK-0060,2025-12-11T11:48:31.576155,2025-12-11 11:48:31,2025-12-11 11:48:31,automated,automated,quarantine_email,quarantine_email,11.547515835402324,AUTO-SYSTEM,completed,Automated response: quarantine email
ATK-0061,ATK-0061,2025-12-11T11:50:32.510055,2025-12-11 11:50:32,2025-12-11 11:50:32,automated,automated,block_domain,block_domain,15.406729849267313,AUTO-SYSTEM,completed,Automated response: block domain
ATK-0062,ATK-0062,2025-12-11T11:57:01.770789,2025-12-11 11:57:01,2025-12-11 11:57:01,manual,manual,analyst_review,analyst_review,186.81996929554703,analyst_sarah,completed,Manual response: analyst review
ATK-0064,ATK-0064,2025-12-11T12:21:41.059979,2025-12-11 12:21:41,2025-12-11 12:21:41,manual,manual,escalate_to_soc,escalate_to_soc,680.1894020735584,analyst_john,completed,Manual response: escalate to soc
ATK-0065,ATK-0065,2025-12-11T12:26:04.478561,2025-12-11 12:26:04,2025-12-11 12:26:04,manual,manual,escalate_to_soc,escalate_to_soc,872.9132460135606,analyst_sarah,completed,Manual response: escalate to soc
ATK-0067,ATK-0067,2025-12-11T12:24:06.120322,2025-12-11 12:24:06,2025-12-11 12:24:06,automated,automated,block_domain,block_domain,4.0982197374572475,AUTO-SYSTEM,completed,Automated response: block domain
ATK-0068,ATK-0068,2025-12-11T12:36:06.354202,2025-12-11 12:36:06,2025-12-11 12:36:06,manual,manual,block_ip_firewall,block_ip_firewall,552.819266542301,analyst_john,completed,Manual response: block ip firewall
ATK-0069,ATK-0069,2025-12-11T12:34:52.972883,2025-12-11 12:34:52,2025-12-11 12:34:52,manual,manual,create_ticket,create_ticket,140.08658257304685,analyst_john,completed,Manual response: create ticket
ATK-0070,ATK-0070,2025-12-11T12:40:43.486426,2025-12-11 12:40:43,2025-12-11 12:40:43,automated,automated,kill_process,kill_process,4.38015059715171,AUTO-SYSTEM,completed,Automated response: kill process
ATK-0071,ATK-0071,2025-12-11T12:57:47.936361,2025-12-11 12:57:47,2025-12-11 12:57:47,manual,manual,escalate_to_soc,escalate_to_soc,507.851902362875,analyst_sarah,completed,Manual response: escalate to soc
ATK-0073,ATK-0073,2025-12-11T12:52:53.555520,2025-12-11 12:52:53,2025-12-11 12:52:53,automated,automated,isolate_host,isolate_host,6.217763753306066,AUTO-SYSTEM,completed,Automated response: isolate host
ATK-0074,ATK-0074,2025-12-11T13:08:06.604712,2025-12-11 13:08:06,2025-12-11 13:08:06,manual,manual,request_more_info,request_more_info,837.1323723259212,analyst_sarah,completed,Manual response: request more info
ATK-0075,ATK-0075,2025-12-11T13:03:29.791969,2025-12-11 13:03:29,2025-12-11 13:03:29,automated,automated,block_ip_firewall,block_ip_firewall,9.135253509955751,AUTO-SYSTEM,completed,Automated response: block ip firewall
ATK-0076,ATK-0076,2025-12-11T13:05:37.144115,2025-12-11 13:05:37,2025-12-11 13:05:37,automated,automated,quarantine_email,quarantine_email,6.305542828734218,AUTO-SYSTEM,completed,Automated response: quarantine email
ATK-0077,ATK-0077,2025-12-11T13:26:27.540028,2025-12-11 13:26:27,2025-12-11 13:26:27,manual,manual,analyst_review,analyst_review,789.256972067842,analyst_mike,completed,Manual response: analyst review
ATK-0079,ATK-0079,2025-12-11T13:32:30.359062,2025-12-11 13:32:30,2025-12-11 13:32:30,manual,manual,block_ip_firewall,block_ip_firewall,182.3112608389726,analyst_john,completed,Manual response: block ip firewall
ATK-0080,ATK-0080,2025-12-11T13:25:44.460530,2025-12-11 13:25:44,2025-12-11 13:25:44,automated,automated,block_domain,block_domain,6.8013142029489515,AUTO-SYSTEM,completed,Automated response: block domain
