event_id,detection_time,detected_at,timestamp,threat_detected,ai_verdict,confidence,detection_method,mttd_actual_seconds,total_delay_seconds
ATK-0055,2025-12-11T11:25:48.976345,2025-12-11 11:25:48,2025-12-11 11:25:48,True,malicious,0.8418171242747035,SIEM_rule,395.8653075723798,450.71265502205335
ATK-0056,2025-12-11T11:25:00.325829,2025-12-11 11:25:00,2025-12-11 11:25:00,True,malicious,0.7875878169336429,SIEM_rule,76.52044439541987,102.06213900638261
ATK-0057,2025-12-11T11:35:25.635034,2025-12-11 11:35:25,2025-12-11 11:35:25,True,malicious,0.8458911881477829,anomaly_detection,215.6327582199484,247.37134370494974
ATK-0059,2025-12-11T11:41:02.977245,2025-12-11 11:41:02,2025-12-11 11:41:02,True,malicious,0.8562346242692117,anomaly_detection,53.690356458591815,104.71355512840785
ATK-0060,2025-12-11T11:48:20.028639,2025-12-11 11:48:20,2025-12-11 11:48:20,True,malicious,0.9549425774956335,anomaly_detection,195.51317509183133,241.7649494813631
ATK-0061,2025-12-11T11:50:17.103325,2025-12-11 11:50:17,2025-12-11 11:50:17,True,malicious,0.8632910816053817,IDS_signature,30.833295183743175,58.83963540891001
ATK-0062,2025-12-11T11:53:54.950820,2025-12-11 11:53:54,2025-12-11 11:53:54,True,malicious,0.7529184778109306,SIEM_rule,12.90711736346579,36.68712976349371
ATK-0064,2025-12-11T12:10:20.870577,2025-12-11 12:10:20,2025-12-11 12:10:20,True,malicious,0.8178116426658097,ML_model,255.0817170960615,302.60688677213653
ATK-0065,2025-12-11T12:11:31.565315,2025-12-11 12:11:31,2025-12-11 12:11:31,True,malicious,0.8674128612033873,anomaly_detection,29.621386866876147,73.30162549771171
ATK-0066,2025-12-11T12:25:10.080276,2025-12-11 12:25:10,2025-12-11 12:25:10,True,malicious,0.9797564606092873,ML_model,481.94467935172213,531.816586052846
ATK-0067,2025-12-11T12:24:02.022102,2025-12-11 12:24:02,2025-12-11 12:24:02,True,malicious,0.9842215124270803,IDS_signature,140.29779970519633,163.75841154225606
ATK-0068,2025-12-11T12:26:53.534935,2025-12-11 12:26:53,2025-12-11 12:26:53,True,malicious,0.8209278232760482,SIEM_rule,52.39278712056071,95.27124509979555
ATK-0069,2025-12-11T12:32:32.886300,2025-12-11 12:32:32,2025-12-11 12:32:32,True,malicious,0.8143213078076819,anomaly_detection,51.1607390779771,74.6226097547758
ATK-0070,2025-12-11T12:40:39.106275,2025-12-11 12:40:39,2025-12-11 12:40:39,True,malicious,0.9629802739461685,anomaly_detection,203.83783855748067,260.842584808178
ATK-0071,2025-12-11T12:49:20.084459,2025-12-11 12:49:20,2025-12-11 12:49:20,True,malicious,0.8966746475096496,ML_model,547.923829816132,601.8207686681784
ATK-0072,2025-12-11T12:44:40.353008,2025-12-11 12:44:40,2025-12-11 12:44:40,True,malicious,0.8574634240018585,IDS_signature,30.875195987833315,82.08931791529412
ATK-0073,2025-12-11T12:52:47.337756,2025-12-11 12:52:47,2025-12-11 12:52:47,True,malicious,0.938775481362709,anomaly_detection,42.202711159430876,89.07406607146964
ATK-0074,2025-12-11T12:54:09.472340,2025-12-11 12:54:09,2025-12-11 12:54:09,True,malicious,0.8499285516880215,SIEM_rule,11.641593235605875,51.2086503439242
ATK-0075,2025-12-11T13:03:20.656715,2025-12-11 13:03:20,2025-12-11 13:03:20,True,malicious,0.8843892292308246,IDS_signature,125.09144771490502,182.39302467080483
ATK-0076,2025-12-11T13:05:30.838572,2025-12-11 13:05:30,2025-12-11 13:05:30,True,malicious,0.817497138996764,IDS_signature,13.139031508106473,72.57488214662068
ATK-0077,2025-12-11T13:13:18.283056,2025-12-11 13:13:18,2025-12-11 13:13:18,True,malicious,0.8064394263303012,anomaly_detection,188.69994480011684,240.0193661298619
ATK-0079,2025-12-11T13:29:28.047801,2025-12-11 13:29:28,2025-12-11 13:29:28,True,malicious,0.8217984294186849,anomaly_detection,571.9307954742969,609.7841108279054
ATK-0080,2025-12-11T13:25:37.659216,2025-12-11 13:25:37,2025-12-11 13:25:37,True,malicious,0.9390013826855046,IDS_signature,108.02196926567188,139.39552615103344
